work_id,isbn,isbn13,original_title,author,original_publication_year,num_pages,description,genres,image_url,reviews_count,text_reviews_count,5_star_ratings,4_star_ratings,3_star_ratings,2_star_ratings,1_star_ratings,ratings_count,avg_rating,similar_books
2771,749702818,9780749702816.0,The Homeward Bounders,Diana Wynne Jones,1981,224.0,"""You are now a discard. We have no further use for you in play. You are free to walk the Bounds, but it will be against the rules for you to enter play in any world. If you succeed in returning Home, then you may enter play again in the normal manner.""
When Jamie unwittingly discovers the sinister, dark-cloaked Themplaying games with humans' lives, he is cast out to the boundaries of the worlds. Clinging to Theirpromise that if he can get Home he is free, he becomes an unwilling Random Factor in Theirdeadly, eternal game.
Jamie travels alone until he teams up with Helen and Joris, determined to beat Themat Theirown game. But Theirrules don't allow Homeward Bounders to work together.","fantasy, paranormal, young-adult, fiction, children",https://images.gr-assets.com/books/1444026372m/47570.jpg,6100,159,1173,1037,717,171,102,3200,3.9,"1592006, 10170082, 164037"
3281465,067168390X,9780671683900.0,Lonesome Dove,Larry McMurtry,1985,945.0,"A love story, an adventure, and an epic of the frontier, Larry McMurtry's Pulitzer Prize-- winning classic, Lonesome Dove, the third book in the Lonesome Dovetetralogy, is the grandest novel ever written about the last defiant wilderness of America.
Journey to the dusty little Texas town of Lonesome Dove and meet an unforgettable assortment of heroes and outlaws, whores and ladies, Indians and settlers. Richly authentic, beautifully written, always dramatic, Lonesome Doveis a book to make us laugh, weep, dream, and remember.
Series in order of publication:
Lonesome Dove (1985)
Streets of Laredo (1993)
Dead Man's Walk (1995)
Comanche Moon (1997)
Series in order of internal chronology:
Dead Man's Walk - set in the early 1840s
Comanche Moon - set in the 1850-60s
Lonesome Dove - set in mid-to-late 1870s
Streets of Laredo - set in the early 1890s","fiction, history, historical fiction, biography, romance",https://images.gr-assets.com/books/1378573063m/256008.jpg,175731,5473,74377,29984,10811,2209,1092,118473,4.5,
2046265,345363132,9780345363138.0,The Sunne in Splendour,Sharon Kay Penman,1982,936.0,"A glorious novel of the controversial Richard III - a monarch betrayed in life by his allies and betrayed in death by history.
In this beautifully rendered modern classic, Sharon Kay Penman redeems Richard III - vilified as the bitter, twisted, scheming hunchback who murdered his nephews, the princes in the Tower - from his maligned place in history with a dazzling combination of research and storytelling.
Born into the treacherous courts of fifteenth-century England, in the midst of what history has called The War of the Roses, Richard was raised in the shadow of his charismatic brother, King Edward IV. Loyal to his friends and passionately in love with the one woman who was denied him, Richard emerges as a gifted man far more sinned against than sinning.
This magnificent retelling of his life is filled with all of the sights and sounds of battle, the customs and lore of the fifteenth century, the rigors of court politics, and the passions and prejudices of royalty.","fiction, history, historical fiction, biography, romance, fantasy, paranormal, non-fiction",https://images.gr-assets.com/books/1361649213m/119829.jpg,33239,1079,9851,5025,1726,336,192,17130,4.4,
2116174,446616648,9780446616645.0,The Serial Killers Club,Jeff Povey,1990,320.0,"When our hero finds himself in the path of a serial killer, he somehow manages to defend himself, and give the blood-thirsty madman a taste of his own medicine. But when he goes through the dead man's wallet, he finds a mysterious personal ad inviting him to join a party hosted by Errol Flynn. What begins with passing curiosity soon becomes uncontrollable obsession, as our hero becomes acquainted with 18 killers. Their game: to share the thrill of the hunt and to make sure no two members choose the same two victims. To protect their identities, they have all chosen names of old Hollywood stars, and before long, our hero becomes Douglas Fairbanks, Jr. But he has no intention of following the rules. With a government special agent on his trail who will soon become his partner in crim, ""Dougie"" plans to knock off the killers one by one, from Carole Lombard to Chuck Norris, to Laurence Olivier and Cher. But what happens when the ""stars"" notice their numbers dropping?","fiction, mystery, thriller, crime",https://images.gr-assets.com/books/1344266493m/421360.jpg,2457,177,181,363,471,249,91,1355,3.2,
1964961,440207665,9780440207665.0,Eva,Peter Dickinson,1988,219.0,"THIRTEEN-YEAR OLD EVA wakes up in the hospital unable to remember anything since the picnic on the beach. Her mother leans over the bed and begins to explain. A traffic accident, a long coma . . .
But there is something, Eva senses, that she's not being told. There is a price she must pay to be alive at all. What have they done, with their amazing medical techniques, to save her?","young-adult, fiction, fantasy, paranormal, children, mystery, thriller, crime",https://images.gr-assets.com/books/1328397920m/631169.jpg,2903,200,308,514,562,220,131,1735,3.4,
401520,553276727,9780553276725.0,Dear sister,Francine Pascal,1984,160.0,"Sweet Valley is stunned by the news: Beautiful young Elizabeth Wakefield lies in a coma, on the brink of death after a horrible motorcycle accident.Elizabeth's boyfriend Todd is consumed by guilt; he was driving and escaped unharmed. He feels totally helpless. All he can do is wait for a change in Elizabeth's condition--a change that might mean the loss of the only girl he's ever loved.
But no one is more shattered than Elizabeth's twin, Jessica. As she keeps watch over the silent body of her sister, she's overwhelmed by despair. Without Elizabeth, can life go on?","young-adult, fiction, romance, children",https://images.gr-assets.com/books/1308123307m/38601.jpg,3322,76,432,473,764,214,43,1926,3.5,
1920615,014009623X,9780140096231.0,Foe,J.M. Coetzee,1986,157.0,"With the same electrical intensity of language and insight that he brought to --and in so doing, directs our attention to the seduction and tyranny of storytelling itself
In 1720 the eminent man of letters Daniel Foe is approached by Susan Barton, lately a castaway on a desert island. She wants him to tell her story, and that of the enigmatic man who has become her rescuer, companion, master and sometimes lover: Cruso. Cruso is dead, and his manservant, Friday, is incapable of speech. As she tries to relate the truth about him, the ambitious Barton cannot help turning Cruso into her invention. For as narrated by Foe--as by Coetzee himself--the stories we thought we knew acquire depths that are at once treacherous, elegant, and unexpectedly moving.
~from the back cover","fiction, history, historical fiction, biography",https://images.gr-assets.com/books/1508792026m/525544.jpg,11626,474,1108,2214,2411,878,257,6868,3.4,
24951203,896214400,9780896214408.0,The Shawshank Redemption,Stephen King,1982,181.0,A man convicted of murder lives in a prison brutally ruled by a sadistic warden and secretly run by a con who knows all the ropes and pulls all the strings.,"fiction, mystery, thriller, crime, history, historical fiction, biography, fantasy, paranormal",https://images.gr-assets.com/books/1315100686m/39664.jpg,24414,844,8378,3965,1057,127,17,13544,4.5,
2817970,552133256,9780552133258.0,Strata,Terry Pratchett,1981,285.0,"THE COMPANY BUILDS PLANETS.
Kin Arad is a high-ranking official of the Company. After twenty-one decades of living, and with the help of memory surgery, she is at the top of her profession. Discovering two of her employees have placed a fossilized plesiosaur in the wrong stratum, not to mention the fact it is holding a placard which reads, 'End Nuclear Testing Now', doesn't dismay the woman who built a mountain range in the shape of her initials during her own high-spirited youth.
But then came discovery of something which didintrigue Kin Arad. A flat earth was something new...","fantasy, paranormal, fiction, comics, graphic, children",https://images.gr-assets.com/books/1328341190m/34493.jpg,13826,268,1546,2550,3255,1101,221,8673,3.5,
1146200,679781498,9780679781493.0,Less Than Zero,Bret Easton Ellis,1985,208.0,"Set in Los Angeles in the early 1980's, this coolly mesmerizing novel is a raw, powerful portrait of a lost generation who have experienced sex, drugs, and disaffection at too early an age, in a world shaped by casual nihilism, passivity, and too much money a place devoid of feeling or hope.
Clay comes home for Christmas vacation from his Eastern college and re-enters a landscape of limitless privilege and absolute moral entropy, where everyone drives Porches, dines at Spago, and snorts mountains of cocaine. He tries to renew feelings for his girlfriend, Blair, and for his best friend from high school, Julian, who is careering into hustling and heroin. Clay's holiday turns into a dizzying spiral of desperation that takes him through the relentless parties in glitzy mansions, seedy bars, and underground rock clubs and also into the seamy world of L.A. after dark.","fiction, young-adult",https://images.gr-assets.com/books/1443060100m/9915.jpg,82787,2749,10500,18688,15686,5489,1855,52218,3.6,
54737,393320928,9780393320923.0,What Do You Care What Other People Think? Further Adventures of a Curious Character,Richard Feynman,1988,256.0,"One of the greatest physicists of the twentieth century, Richard Feynman possessed an unquenchable thirst for adventure and an unparalleled ability to tell the stories of his life. ""What Do You Care What Other People Think?"" is Feynman's last literary legacy, prepared with his friend and fellow drummer, Ralph Leighton. Among its many tales--some funny, others intensely moving--we meet Feynman's first wife, Arlene, who taught him of love's irreducible mystery as she lay dying in a hospital bed while he worked nearby on the atomic bomb at Los Alamos. We are also given a fascinating narrative of the investigation of the space shuttle Challenger's explosion in 1986, and we relive the moment when Feynman revealed the disaster's cause by an elegant experiment: dropping a ring of rubber into a glass of cold water and pulling it out, misshapen.","history, historical fiction, biography, non-fiction, comics, graphic",https://images.gr-assets.com/books/1297913068m/5548.jpg,38726,661,7931,6277,2235,309,125,16877,4.3,
766896,553564935,9780553564938.0,Magician: Master,Raymond E. Feist,1982,499.0,"He held the fate of two worlds in his hands...
Once he was an orphan called Pug, apprenticed to a sorcerer of the enchanted land of Midkemia.. Then he was captured and enslaved by the Tsurani, a strange, warlike race of invaders from another world.
There, in the exotic Empire of Kelewan, he earned a new name--Milamber. He learned to tame the unnimagined powers that lay withing him. And he took his place in an ancient struggle against an evil Enemy older than time itself.","fantasy, paranormal, fiction, romance, young-adult",https://images.gr-assets.com/books/1320457190m/13810.jpg,70608,554,26725,19134,8025,1442,588,55914,4.3,
2960376,586217835,9780586217832.0,Magician,Raymond E. Feist,1982,681.0,"Raymond E. Feist's classic fantasy epic, Magician, has enchanted readers for over twenty years. The revised edition was prepared to celebrate the tenth anniversary of its publication, and incorporates over 15,000 words of text omitted from previous editions.
At Crydee, a frontier outpost in the tranquil Kingdom of the Isles, an orphan boy, Pug, is apprenticed to a master magician - and the destinies of two worlds are changed forever.
Suddenly the peace of the Kingdom is destroyed as mysterious alien invaders swarm the land. Pug is swept up into the conflict but for him and his warrior friend, Tomas, an odyssey into the unknown has only just begun.
Tomas will inherit a legacy of savage power from an ancient civilization. Pug's destiny is to lead him through a rift in the fabric of space and time to the mastery of the unimaginable powers of a strange new magic.
Reviews
'Epic scope... fast moving action...vivid imagination'
WASHINGTON POST
'tons of intrigue and action'
PUBLISHERS WEEKLY","fantasy, paranormal, fiction, romance",https://images.gr-assets.com/books/1391464462m/43916.jpg,65783,1164,26091,14879,6034,1415,432,48851,4.3,
1090468,345496248,9780345496249.0,Ji Sheng Swu  1,Hitoshi Iwaaki,1990,288.0,"SILENT INVASION
They arrive in silence and darkness. They descend from the skies. They have a hunger for human flesh. They are everywhere. They are parasites, alien creatures who must invade - and take control of - a human host to survive. And once they have infected their victims, they can assume any deadly form they choose: monsters with giant teeth, winged demons, creatures with blades for hands. But most have chosen to conceal their lethal purpose behind ordinary human faces. So no one knows their secret - except an ordinary high school student. Shin is battling for control of his own body against an alien parasite, but can he find a way to warn humanity of the horrors to come?","comics, graphic, fiction, mystery, thriller, crime, young-adult, fantasy, paranormal, romance",https://images.gr-assets.com/books/1320551981m/1103544.jpg,5934,227,1754,1294,501,106,23,3678,4.3,
321174,393316041,9780393316049.0,"Surely You're Joking, Mr. Feynman! Adventures of a Curious Character",Richard Feynman,1984,391.0,"Richard Feynman (1918-1988), winner of the Nobel Prize in physics, thrived on outrageous adventures. Here he recounts in his inimitable voice his experience trading ideas on atomic physics with Einstein and Bohr and ideas on gambling with Nick the Greek; cracking the uncrackable safes guarding the most deeply held nuclear secrets; painting a naked female toreador - and much else of an eyebrow-raising nature.
In short, here is Feynman's life in all its eccentric glory - a combustible mixture of high intelligence, unlimited curiosity, and raging chutzpah.","history, historical fiction, biography, non-fiction, comics, graphic, fiction",https://images.gr-assets.com/books/1348445281m/5544.jpg,196016,3690,53388,32010,11516,2800,2256,101970,4.3,
319425,4770020678,9784770020673.0,Chuang giwanototsutochiyan,Tetsuko Kuroyanagi,1981,232.0,"This engaging series of childhood recollections tells about an ideal school in Tokyo during World War II that combined learning with fun, freedom, and love. This unusual school had old railroad cars for classrooms, and it was run by an extraordinary man--its founder and headmaster, Sosaku Kobayashi--who was a firm believer in freedom of expression and activity.","children, non-fiction, fiction, history, historical fiction, biography, young-adult, comics, graphic",https://images.gr-assets.com/books/1354795941m/328802.jpg,27996,1689,8667,5564,2055,424,220,16930,4.3,
1129239,671720147,9780671720148.0,The Vor Game,Lois McMaster Bujold,1990,346.0,"Hugo Award Winner! Miles Vorkosigan graduates from the Academy, joins a mutiny, is placed under house arrest, goes on a secret mission, reconnects with his loyal Dendarii Mercenaries, rescues his Emperor, and thwarts an interstellar war. Situation normal, if you're Miles.","fiction, fantasy, paranormal, romance, mystery, thriller, crime",https://images.gr-assets.com/books/1322571824m/68483.jpg,21541,575,7571,6851,2257,233,53,16965,4.3,
1932588,586062009,9780586062005.0,Robots and Empire,Isaac Asimov,1985,512.0,"Long after his humiliating defeat at the hands of Earthman Elijah Baley, Keldon Amadiro embarked on a plan to destroy planet Earth. But even after his death, Baley's vision continued to guide his robot partner, R. Daneel Olivaw, who had the wisdom of a great man behind him and an indestructable will to win....","fiction, fantasy, paranormal, mystery, thriller, crime, non-fiction",https://images.gr-assets.com/books/1335782304m/76688.jpg,31987,461,8071,8414,3529,437,60,20511,4.2,
958661,006117758X,9780061177583.0,Ham on Rye,Charles Bukowski,1982,288.0,"In what is widely hailed as the best of his many novels, Charles Bukowski details the long, lonely years of his own hardscrabble youth in the raw voice of alter ego Henry Chinaski. From a harrowingly cheerless childhood in Germany through acne-riddled high school years and his adolescent discoveries of alcohol, woman, and the Los Angeles Public Library's collection of D.H. Lawrence, Ham on Ryeoffers a crude, brutal, and savagely funny portrait of an outcast's coming-of-age during the desperate days of the Great Depression.","fiction, poetry, history, historical fiction, biography, non-fiction, young-adult, comics, graphic",https://images.gr-assets.com/books/1388195001m/38501.jpg,114312,2488,25730,25094,9822,1951,656,63253,4.2,
1808841,345335708,9780345335708.0,Castle of Wizardry,David Eddings,1984,375.0,"A magnificent epic set against a history of seven thousand years of the struggles of Gods and Kings and men - of strange lands and events - of fate and a prophecy that must be fulfilled!
THE BELGARIAD
It had all begun with the theft of the Orb that had so long protected the West from the evil God Torak. Before that, Garion had been a simple farm boy. Afterward, he discovered that his aunt was really the Sorceress Polgara and his grandfather was Belgarath, the Eternal Man. Then, on the long quest to recover the Orb, Garion found to his dismay that he, too, was a sorcerer.
Now, at last, the Orb was regained and the quest was nearing its end. Of course, the questors still had to escape from this crumbling enemy fortress and flee across a desert filled with Murgo soldiers searching for them, while Grolim Hierarchs strove to destroy them with dark magic. Then, somehow, they must manage to be in Riva with the Orb by Erastide.
After that, however, Garion was sure that his part in these great events would be finished.
But the Prophecy still held future surprises for Garion - and for the little Princess Ce'Nedra!
THUS CONTINUES BOOK FOUR OF THE BELGARIAD","fantasy, paranormal, fiction, young-adult, romance",https://images.gr-assets.com/books/1421711682m/645023.jpg,72613,570,24351,21541,10701,1667,321,58581,4.2,
